tax_assessment_year,neighbourhood_name,distance_to_beach_km,age_at_assessment,is_strata,annual_precip_mm,annual_temp_c,price_cad
2023,West Point Grey,1.05,28,1,1048.0,10.3,978940.0
2023,West Point Grey,1.05,68,0,1048.0,10.3,3831200.0
2023,Arbutus Ridge,3.05,19,0,1048.0,10.3,3944000.0
2023,Arbutus Ridge,3.05,27,0,1048.0,10.3,2843000.0
2023,Arbutus Ridge,3.05,23,1,1048.0,10.3,1008000.0
2023,Arbutus Ridge,3.05,101,0,1048.0,10.3,3121600.0
2023,Arbutus Ridge,3.05,44,1,1048.0,10.3,861200.0
2023,Arbutus Ridge,3.05,103,0,1048.0,10.3,3313400.0
2023,Kerrisdale,5.6,85,0,1048.0,10.3,4058000.0
2023,Kerrisdale,5.6,33,0,1048.0,10.3,3826000.0
2023,Fairview,1.75,33,1,1048.0,10.3,1296000.0
2023,Fairview,1.75,36,1,1048.0,10.3,1029000.0
2023,Fairview,1.75,31,1,1048.0,10.3,1258000.0
2023,Fairview,1.75,41,1,1048.0,10.3,908900.0
2023,Fairview,1.75,31,1,1048.0,10.3,1493000.0
2023,Fairview,1.75,25,1,1048.0,10.3,1163000.0
2023,Fairview,1.75,52,1,1048.0,10.3,104400.0
2023,Fairview,1.75,29,1,1048.0,10.3,777000.0
2023,Fairview,1.75,52,1,1048.0,10.3,106000.0
2023,Fairview,1.75,29,1,1048.0,10.3,783000.0
2023,Fairview,1.75,29,1,1048.0,10.3,1030000.0
2023,Downtown,1.43,21,1,1048.0,10.3,2142000.0
2023,Downtown,1.43,23,1,1048.0,10.3,125200.0
2023,Downtown,1.43,25,1,1048.0,10.3,394000.0
2023,Downtown,1.43,20,1,1048.0,10.3,655000.0
2023,Downtown,1.43,20,1,1048.0,10.3,1324000.0
2023,Downtown,1.43,66,1,1048.0,10.3,830000.0
2023,Downtown,1.43,28,1,1048.0,10.3,3590000.0
2023,Downtown,1.43,25,1,1048.0,10.3,235500.0
2023,Downtown,1.43,27,1,1048.0,10.3,289300.0
2023,Downtown,1.43,26,1,1048.0,10.3,551000.0
2023,Downtown,1.43,18,1,1048.0,10.3,831000.0
2023,Downtown,1.43,18,1,1048.0,10.3,903000.0
2023,Grandview-Woodland,5.05,39,1,1048.0,10.3,626169.0
2023,Grandview-Woodland,5.05,111,0,1048.0,10.3,1629000.0
2023,Grandview-Woodland,5.05,52,0,1048.0,10.3,1686200.0
2023,Grandview-Woodland,5.05,50,0,1048.0,10.3,1719000.0
2023,West End,0.57,41,1,1048.0,10.3,467000.0
2023,Downtown,1.43,29,1,1048.0,10.3,529000.0
2023,Downtown,1.43,26,1,1048.0,10.3,3500000.0
2023,West End,0.57,39,1,1048.0,10.3,501100.0
2023,Fairview,1.75,40,1,1048.0,10.3,1336000.0
2023,Fairview,1.75,41,1,1048.0,10.3,1381000.0
2023,Fairview,1.75,41,1,1048.0,10.3,1413716.0
2023,Fairview,1.75,18,1,1048.0,10.3,985000.0
2023,Fairview,1.75,32,1,1048.0,10.3,1142000.0
2023,Fairview,1.75,18,1,1048.0,10.3,1954000.0
2023,Kitsilano,0.92,97,0,1048.0,10.3,2750600.0
2023,Kitsilano,0.92,94,0,1048.0,10.3,2509600.0
2023,Kitsilano,0.92,111,0,1048.0,10.3,3272800.0
2023,Kitsilano,0.92,27,1,1048.0,10.3,1624000.0
2023,Kensington-Cedar Cottage,5.89,10,1,1048.0,10.3,1081000.0
2023,Mount Pleasant,3.31,6,1,1048.0,10.3,765000.0
2023,Killarney,10.0,5,1,1048.0,10.3,817000.0
2023,Arbutus Ridge,3.05,5,1,1048.0,10.3,1897000.0
2023,Killarney,10.0,5,1,1048.0,10.3,904000.0
2023,Killarney,10.0,5,1,1048.0,10.3,926000.0
2023,Mount Pleasant,3.31,6,1,1048.0,10.3,701000.0
2023,Mount Pleasant,3.31,6,1,1048.0,10.3,1010000.0
2023,West End,0.57,12,1,1048.0,10.3,3289386.0
2023,Renfrew-Collingwood,7.85,16,1,1048.0,10.3,722000.0
2023,Mount Pleasant,3.31,6,1,1048.0,10.3,685000.0
2023,Renfrew-Collingwood,7.85,16,1,1048.0,10.3,599000.0
2023,Renfrew-Collingwood,7.85,16,1,1048.0,10.3,602000.0
2023,Mount Pleasant,3.31,6,1,1048.0,10.3,1549000.0
2023,Downtown,1.43,18,1,1048.0,10.3,984000.0
2023,Downtown,1.43,14,1,1048.0,10.3,607000.0
2023,Mount Pleasant,3.31,6,1,1048.0,10.3,772000.0
2023,Oakridge,5.77,23,1,1048.0,10.3,1018000.0
2023,Oakridge,5.77,23,1,1048.0,10.3,858000.0
2023,Kerrisdale,5.6,39,0,1048.0,10.3,4028000.0
2023,Kerrisdale,5.6,64,0,1048.0,10.3,3420300.0
2023,Kerrisdale,5.6,34,0,1048.0,10.3,3666000.0
2023,Kerrisdale,5.6,76,0,1048.0,10.3,3585700.0
2023,Hastings-Sunrise,6.96,38,0,1048.0,10.3,1822000.0
2023,Hastings-Sunrise,6.96,26,0,1048.0,10.3,1974000.0
2023,Hastings-Sunrise,6.96,39,0,1048.0,10.3,1975000.0
2023,Hastings-Sunrise,6.96,37,0,1048.0,10.3,1903000.0
2023,Hastings-Sunrise,6.96,67,0,1048.0,10.3,1949500.0
2023,Hastings-Sunrise,6.96,28,0,1048.0,10.3,2271000.0
2023,Downtown,1.43,48,1,1048.0,10.3,253810.0
2023,Downtown,1.43,48,1,1048.0,10.3,253810.0
2023,Downtown,1.43,29,1,1048.0,10.3,325000.0
2023,Downtown,1.43,25,1,1048.0,10.3,504000.0
2023,Downtown,1.43,20,1,1048.0,10.3,1298000.0
2023,Downtown,1.43,48,1,1048.0,10.3,198428.0
2023,Downtown,1.43,23,1,1048.0,10.3,124500.0
2023,Downtown,1.43,24,1,1048.0,10.3,362000.0
2023,Kitsilano,0.92,113,1,1048.0,10.3,1296000.0
2023,Kitsilano,0.92,115,0,1048.0,10.3,1998000.0
2023,Kitsilano,0.92,98,0,1048.0,10.3,3023000.0
2023,Kitsilano,0.92,98,0,1048.0,10.3,2801600.0
2023,Kitsilano,0.92,66,0,1048.0,10.3,2683000.0
2023,Kitsilano,0.92,11,0,1048.0,10.3,3871000.0
2023,Kitsilano,0.92,19,1,1048.0,10.3,1426000.0
2023,Kitsilano,0.92,111,0,1048.0,10.3,3316000.0
2023,Kitsilano,0.92,91,0,1048.0,10.3,2613000.0
2023,Kitsilano,0.92,13,0,1048.0,10.3,3287000.0
2023,Kitsilano,0.92,94,0,1048.0,10.3,2521900.0
2023,Kitsilano,0.92,92,0,1048.0,10.3,2506800.0
2023,Kitsilano,0.92,31,0,1048.0,10.3,3229000.0
2023,Kitsilano,0.92,42,0,1048.0,10.3,2566000.0
2023,Kitsilano,0.92,8,0,1048.0,10.3,3592000.0
2023,Kitsilano,0.92,25,1,1048.0,10.3,1188000.0
2023,Kitsilano,0.92,87,0,1048.0,10.3,2575500.0
2023,Dunbar-Southlands,3.76,23,1,1048.0,10.3,541000.0
2023,Dunbar-Southlands,3.76,86,0,1048.0,10.3,3181000.0
2023,Dunbar-Southlands,3.76,103,0,1048.0,10.3,2494000.0
2023,Mount Pleasant,3.31,7,1,1048.0,10.3,631000.0
2023,Arbutus Ridge,3.05,11,1,1048.0,10.3,512055.0
2023,Fairview,1.75,17,1,1048.0,10.3,1027000.0
2023,Oakridge,5.77,4,1,1048.0,10.3,1261000.0
2023,Kitsilano,0.92,9,1,1048.0,10.3,1343771.0
2023,Renfrew-Collingwood,7.85,4,1,1048.0,10.3,1230000.0
2023,Fairview,1.75,10,1,1048.0,10.3,451000.0
2023,Kitsilano,0.92,2,1,1048.0,10.3,1717000.0
2023,Downtown,1.43,17,1,1048.0,10.3,1500000.0
2023,Mount Pleasant,3.31,10,1,1048.0,10.3,765000.0
2023,Riley Park,4.58,9,1,1048.0,10.3,1107000.0
2023,Mount Pleasant,3.31,10,1,1048.0,10.3,665000.0
2023,Grandview-Woodland,5.05,9,1,1048.0,10.3,1168000.0
2023,Mount Pleasant,3.31,9,1,1048.0,10.3,782000.0
2023,Mount Pleasant,3.31,10,1,1048.0,10.3,1004000.0
2023,Mount Pleasant,3.31,10,1,1048.0,10.3,807000.0
2023,Mount Pleasant,3.31,9,1,1048.0,10.3,785000.0
2023,Kitsilano,0.92,11,1,1048.0,10.3,1172000.0
2023,Downtown,1.43,17,1,1048.0,10.3,1280000.0
2021,Fairview,1.75,34,1,1140.4,10.6,615000.0
2021,Kensington-Cedar Cottage,5.89,72,0,1140.4,10.6,1343900.0
2021,Hastings-Sunrise,6.96,15,0,1140.4,10.6,1727000.0
2021,Downtown,1.43,24,1,1140.4,10.6,1059000.0
2021,Fairview,1.75,34,1,1140.4,10.6,973000.0
2021,Sunset,7.52,40,0,1140.4,10.6,1278000.0
2023,West Point Grey,1.05,102,0,1048.0,10.3,3361600.0
2023,West Point Grey,1.05,24,1,1048.0,10.3,1058626.0
2023,West Point Grey,1.05,86,0,1048.0,10.3,4142000.0
2023,West Point Grey,1.05,43,1,1048.0,10.3,547800.0
2023,West Point Grey,1.05,32,0,1048.0,10.3,2655000.0
2023,West Point Grey,1.05,45,0,1048.0,10.3,3008000.0
2023,West Point Grey,1.05,39,1,1048.0,10.3,1154925.0
2023,Kitsilano,0.92,94,0,1048.0,10.3,2591000.0
2023,Kitsilano,0.92,111,1,1048.0,10.3,1049800.0
2023,Kitsilano,0.92,13,0,1048.0,10.3,3422000.0
2023,Dunbar-Southlands,3.76,92,0,1048.0,10.3,2685000.0
2023,Dunbar-Southlands,3.76,15,0,1048.0,10.3,3331000.0
2023,Dunbar-Southlands,3.76,17,0,1048.0,10.3,3119000.0
2023,Dunbar-Southlands,3.76,53,0,1048.0,10.3,2618000.0
2023,Dunbar-Southlands,3.76,89,0,1048.0,10.3,2468300.0
2023,Dunbar-Southlands,3.76,95,0,1048.0,10.3,2616000.0
2023,Grandview-Woodland,5.05,14,1,1048.0,10.3,1450000.0
2023,Downtown,1.43,17,1,1048.0,10.3,1806000.0
2023,Mount Pleasant,3.31,10,1,1048.0,10.3,893000.0
